I0708 02:04:46.356845       1 azuredisk.go:65] 
DRIVER INFORMATION:
-------------------
Build Date: "2019-04-15T07:48:30Z"
Compiler: gc
Driver Name: disk.csi.azure.com
Driver Version: v0.2.0-alpha
Git Commit: eb37d28331fc88d4021bda2567c0ae6092aa016c
Go Version: go1.12.1
Platform: linux/amd64
Topology Key: topology.disk.csi.azure.com/zone

Streaming logs below:
I0708 02:09:57.046463       1 utils.go:107] GRPC request: volume_id:"/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" 
I0708 02:09:57.046516       1 controllerserver.go:250] deleting azure disk(/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d)
E0708 02:09:57.295441       1 utils.go:110] GRPC error: armcompute.DisksClient#Delete: Failure sending request: StatusCode=0 -- Original Error: autorest/azure: Service returned an error. Status=<nil> Code="OperationNotAllowed" Message="Disk pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d is attached to VM /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0."
I0708 02:10:04.901291       1 azure_controller_standard.go:161] azureDisk - detach disk(pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d, /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d) succeeded
I0708 02:10:04.901326       1 controllerserver.go:389] detach volume /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d from node aks-agentpool-41197296-0 successfully
I0708 02:10:04.901334       1 hashed.go:54] hashedKeyMutex.UnlockKey(...) called for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0"
I0708 02:10:04.901346       1 hashed.go:56] hashedKeyMutex.UnlockKey(...) for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0" completed.
I0708 02:10:04.901356       1 utils.go:112] GRPC response: 
I0708 02:10:04.917031       1 utils.go:106] GRPC call: /csi.v1.Controller/ControllerUnpublishVolume
I0708 02:10:04.917044       1 utils.go:107] GRPC request: volume_id:"/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d" node_id:"aks-agentpool-41197296-0" 
I0708 02:10:04.917083       1 controllerserver.go:352] ControllerUnpublishVolume: called with args {VolumeId:/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d NodeId:aks-agentpool-41197296-0 Secrets:map[] XXX_NoUnkeyedLiteral:{} XXX_unrecognized:[] XXX_sizecache:0}
I0708 02:10:04.917163       1 hashed.go:47] hashedKeyMutex.LockKey(...) called for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0"
I0708 02:10:04.917176       1 hashed.go:49] hashedKeyMutex.LockKey(...) for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0" completed.
I0708 02:10:04.917190       1 controllerserver.go:381] Trying to detach volume /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d from node aks-agentpool-41197296-0
W0708 02:10:04.995319       1 controllerserver.go:384] volume /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d already detached from node aks-agentpool-41197296-0
I0708 02:10:04.995374       1 controllerserver.go:389] detach volume /subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/disks/pvc-disk-dynamic-fac4b8e4-a124-11e9-8c50-c6e5c33cad5d from node aks-agentpool-41197296-0 successfully
I0708 02:10:04.995381       1 hashed.go:54] hashedKeyMutex.UnlockKey(...) called for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0"
I0708 02:10:04.995395       1 hashed.go:56] hashedKeyMutex.UnlockKey(...) for id "/subscriptions/.../resourceGroups/MC_andy-virtualnode_andy-virtualnode_eastus2/providers/Microsoft.Compute/virtualMachines/aks-agentpool-41197296-0" completed.
I0708 02:10:04.995404       1 utils.go:112] GRPC response: 
I0708 02:10:19.141759       1 utils.go:106] GRPC call: /csi.v1.Identity/Probe
I0708 02:10:19.141896       1 utils.go:107] GRPC request: 
I0708 02:10:19.142014       1 utils.go:112] GRPC response: ready:<value:true > 
